,Unnamed: 0,p_id,name,price,colour,brand,img,ratingCount,avg_rating,description,p_attributes,Metadata,Text_Length
3976,16,18652076.0,H&M Women Brown Printed Cropped Pull-On Trousers,1299.0,Brown,H&M,http://assets.myntassets.com/assets/images/18652076/2022/6/7/fe1c8551-c8a2-40ad-813a-817dac08ab421654599924318Croppedpull-ontrousers1.jpg,92.0,4.521739130434782,"<p>Ankle-length trousers in a softly draping viscose weave. High waist with covered elastication, discreet pockets in the side seams and wide, straight legs.</p>The model (height 5'8"") is wearing a size S100% Viscose<br>Machine Wash&nbsp;<br>","{'Add-Ons': 'NA', 'Body Shape ID': '324,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Viscose Rayon', 'Fabric 2': 'NA', 'Features': 'Plain', 'Fit': 'Flared', 'Fly Type': 'Zip', 'Length': 'Regular', 'Main Trend': 'Abstract', 'Multipack Set': 'NA', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Abstract', 'Sustainable': 'Regular', 'Type': 'Parallel Trousers', 'Type of Pleat': 'Flat-Front', 'Waist Rise': 'High-Rise', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted'}","{'name': 'H&M Women Brown Printed Cropped Pull-On Trousers', 'color': 'Brown', 'brand': 'H&M'}",33
3959,989,18921114.0,InWeave Women Red Printed A-Line Skirt,2399.0,Red,InWeave,http://assets.myntassets.com/assets/images/18921114/2022/6/30/472dd7ad-bd85-4a11-a0b2-606450fbed9c1656597443497InWeaveWomenRedPrintedA-LineSkirt1.jpg,,,"<p>Red printed A-line skirt, has drawstring closure and straight hem.</p><p>The model (height 5'8"") is wearing a onesize</p><p>Viscose rayon<br>Hand-wash separately</p>","{'Add-Ons': 'NA', 'Body Shape ID': '324,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Drawstring', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Hemline': 'Flared', 'Knit or Woven': 'Woven', 'Length': 'Maxi', 'Lining': 'NA', 'Main Trend': 'Ethnic Print', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Slit Detail': 'No Slit', 'Sub Trend': 'New Basics', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'A-Line', 'Wash Care': 'Hand Wash', 'Wedding': 'NA'}","{'name': 'InWeave Women Red Printed A-Line Skirt', 'color': 'Red', 'brand': 'InWeave'}",19
5087,137,18348054.0,Dress My Angel Girls Peach Printed Pure Cotton Reversible Skirts,1099.0,Peach,Dress My Angel,http://assets.myntassets.com/assets/images/18348054/2022/6/23/ebc8d2eb-45d9-40e9-968d-3548fdb8120f1655979538431DressMyAngelGirlsPeachPrintedPureCottonReversibleSkirts1.jpg,,,"<p>Peach and green printed mini-length reversible skirt, has an elasticated waistband with slip-on closure and flared hem</p>-<p>Pure Cotton <br>Machine wash</p>","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Pure Cotton', 'Fabric Type': 'Cotton Cambric', 'Hemline': 'Flared', 'Knit or Woven': 'Woven', 'Length': 'Mini', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Slit Detail': 'NA', 'Sub Trend': 'New Basics', 'Surface Styling': 'Gathered or Pleated', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Flared', 'Wash Care': 'Machine Wash', 'Wedding': 'NA'}","{'name': 'Dress My Angel Girls Peach Printed Pure Cotton Reversible Skirts', 'color': 'Peach', 'brand': 'Dress My Angel'}",20
6101,161,16683588.0,Vero Moda Blue & White Striped Culotte Jumpsuit,3499.0,Blue,Vero Moda,http://assets.myntassets.com/assets/images/16683588/2022/1/4/2455c5ab-773b-403d-aed5-0159f5c790021641301363090VeroModaWomenBlueStriped1.jpg,,,"Blue and white striped culotte jumpsuit ,has a round neck, sleeveless, tie-up detailViscose rayon<br>Machine washThe model (height 5'8) is wearing a size S","{'Better Cotton Initiative': 'Regular', 'Body or Garment Size': 'Garment Measurements in', 'Closure': 'NA', 'Fabric': 'Viscose Rayon', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Striped', 'Sleeve Length': 'Sleeveless', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Type': 'Culotte Jumpsuit', 'Wash Care': 'Machine Wash'}","{'name': 'Vero Moda Blue & White Striped Culotte Jumpsuit', 'color': 'Blue', 'brand': 'Vero Moda'}",23
3068,98,15637556.0,Tokyo Talkies Women Green Solid Midi-Length Wrap Skirt,899.0,Green,Tokyo Talkies,http://assets.myntassets.com/assets/images/15637556/2021/9/27/e30b1d9f-8280-4051-af13-9b55cae916f81632727964341Skirts1.jpg,44.0,3.409090909090909,"<p>Olive solid casual-fit mid-rise straight midi skirt has an elasticated waistband with a buttoned closure, straight hem, side slits</p><p>Casual-fit<br>The model (height 5'8"") is wearing a size 28</p><p>Viscose Rayon<br>Machine wash</p>","{'Add-Ons': 'NA', 'Body Shape ID': '443,324,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Hemline': 'Straight', 'Knit or Woven': 'Woven', 'Length': 'Midi', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Slit Detail': 'NA', 'Sub Trend': 'New Basics', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Wrap', 'Wash Care': 'Machine Wash'}","{'name': 'Tokyo Talkies Women Green Solid Midi-Length Wrap Skirt', 'color': 'Green', 'brand': 'Tokyo Talkies'}",29
2929,949,18610602.0,TALIA Women Blue Bootcut Low Distress Light Fade Stretchable Jeans,2499.0,Blue,TALIA,http://assets.myntassets.com/assets/images/18610602/2022/6/4/ce82d19b-48ab-4b47-9c49-48b8af618f501654326300662TALIAWomenBlueBootcutLowDistressLightFadeStretchableJeans1.jpg,,,"<ul> <li> Medium shade,  light fade blue jeans </li> <li> Bootcut,  mid-rise </li> <li> Low distress </li> <li> Stretchable </li> <li> 5 pocket </li> <li> Length: cropped </li> </ul><p>Machine Wash</p><br> Fit: Bootcut <br> Stretchable <br> The model (height 5'8) is wearing a size 28","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Zip Fly', 'Distress': 'Low Distress', 'Effects': 'None', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fabric 3': 'NA', 'Fade': 'Light Fade', 'Features': 'NA', 'Fit': 'Bootcut', 'Length': 'Cropped', 'Main Trend': 'NA', 'Number of Pockets': '5', 'Occasion': 'Casual', 'Reversible': 'No', 'Shade': 'Medium', 'Stretch': 'Stretchable', 'Sustainable': 'Regular', 'Type of Distress': 'Cat Scratches', 'Waist Rise': 'Mid-Rise', 'Waistband': 'With belt loops', 'Wash Care': 'Machine Wash'}","{'name': 'TALIA Women Blue Bootcut Low Distress Light Fade Stretchable Jeans', 'color': 'Blue', 'brand': 'TALIA'}",46
12752,922,14829374.0,Campus Sutra Women Orange Solid Windcheater Hooded Padded Jacket,3499.0,Orange,Campus Sutra,http://assets.myntassets.com/assets/images/14829374/2021/7/14/97ba918d-52dc-48f6-82a2-1e34b79ef8641626281485462CampusSutraWomenOrangeStripedWindcheaterLonglineSportyJacket1.jpg,6.0,4.833333333333333,"Orange solid windcheater padded jacket, has a hood, 2 pockets, has a snap button closure, long regular sleeves, curved hem, polyester liningOuter shell: Polyester <br> Lining fabric: Polyester <br> Machine washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Character': 'NA', 'Closure': 'Snap Button', 'Collar': 'Hooded', 'Fabric': 'Polyester', 'Features': 'Windcheater', 'Hemline': 'Curved', 'Length': 'Regular', 'Lining Fabric': 'Polyester', 'Main Trend': 'NA', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sport': 'NA', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Technology': 'NA', 'Technology Present': 'No', 'Type': 'Padded Jacket', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven'}","{'name': 'Campus Sutra Women Orange Solid Windcheater Hooded Padded Jacket', 'color': 'Orange', 'brand': 'Campus Sutra'}",39
8912,692,18139458.0,MANOHARI Mustard Yellow & Golden Zari Silk Blend Saree,7599.0,Mustard,MANOHARI,http://assets.myntassets.com/assets/images/18139458/2022/5/4/d912c0a6-6d0b-4a45-807d-7729546ef2b71651654659197MANOHARIWomenMustardSarees1.jpg,,,<b>Design Details </b><ul><li>Mustard yellow and golden saree</li><li>Solid saree with zari border</li><li>Has sequinned detail</li></ul><br>The saree comes with an unstitched blouse piece<br>The blouse worn by the model might be for modelling purpose only.Length: 5.5 metres plus 0.8 metre blouse piece <br> Width: 1.06 metres (approx.)Silk Blend<br>Dry Clean Only,"{'Blouse': 'Blouse Piece', 'Blouse Fabric': 'Silk Blend', 'Border': 'Zari', 'Care for me': '', 'Multipack Set': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'Sequinned', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Saree Fabric': 'Silk Blend', 'Sustainable': 'Regular', 'Trends': 'NA', 'Type': 'NA', 'Wash Care': 'Dry Clean', 'Wedding': 'Bride & Wedding Squad'}","{'name': 'MANOHARI Mustard Yellow & Golden Zari Silk Blend Saree', 'color': 'Mustard', 'brand': 'MANOHARI'}",46
2340,360,18769856.0,Trendyol Women White Pure Cotton Wide Leg High-Rise Jeans,4199.0,White,Trendyol,http://assets.myntassets.com/assets/images/18769856/2022/7/27/4b17c429-0773-4157-ab63-989594c1cfdc1658923469139-Trendyol-Women-Jeans-551658923468482-1.jpg,,,"<ul> <li> Light shade,  no fade white jeans </li> <li> Wide leg,  high-rise </li> <li> Clean look </li> <li> Non stretchable </li> <li> Length: regular </li> </ul><br> Fit: Wide Leg <br> Non Stretchable <br> The model (height 5'8) is wearing a size 28100% Cotton<br>Machine wash","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Button Fly', 'Distress': 'Clean Look', 'Effects': 'None', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fabric 3': 'NA', 'Fade': 'No Fade', 'Features': 'NA', 'Fit': 'Wide Leg', 'Length': 'Regular', 'Main Trend': 'NA', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Reversible': 'No', 'Shade': 'Light', 'Stretch': 'Non Stretchable', 'Sustainable': 'Regular', 'Type of Distress': 'NA', 'Waist Rise': 'High-Rise', 'Waistband': 'NA', 'Wash Care': 'Machine Wash'}","{'name': 'Trendyol Women White Pure Cotton Wide Leg High-Rise Jeans', 'color': 'White', 'brand': 'Trendyol'}",47
6355,415,18110518.0,SASSAFRAS Women Brown Schiffli Basic Jumpsuit,2299.0,Brown,SASSAFRAS,http://assets.myntassets.com/assets/images/18110518/2022/5/10/97f24715-bc41-400b-a5f1-842651e36afc1652174760703-SASSAFRAS-Women-Jumpsuit-5561652174759920-1.jpg,,,"Brown schiffli basic jumpsuit, has a v-neck, three-quarter, puff sleeves, 2 pockets, concealed zip closure. comes with a belt100% Polyester<br>Machine wash<br>Size worn by the model: S<br>Chest: 32.5''<br>Waist: 28.5""<br>Hips: 35.5""<br>Height: 5'7""<br>","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Concealed Zip', 'Fabric': 'Polyester', 'Main Trend': 'Overalls', 'Neck': 'V-Neck', 'Number of Pockets': '2', 'Occasion': 'Casual', 'Pattern': 'Self Design', 'Sleeve Length': 'Three-Quarter Sleeves', 'Surface Styling': 'Waist Tie-Ups', 'Sustainable': 'Regular', 'Type': 'Basic Jumpsuit', 'Wash Care': 'Machine Wash'}","{'name': 'SASSAFRAS Women Brown Schiffli Basic Jumpsuit', 'color': 'Brown', 'brand': 'SASSAFRAS'}",30
5338,388,16542542.0,U&F Women Gorgeous Green Solid Tiered Skirt,1999.0,Green,U&F,http://assets.myntassets.com/assets/images/16542542/2022/2/14/0b457a66-8122-4b8c-8ef7-a32057043fdc1644838560460UFWomenGorgeousGreenSolidTieredSkirt1.jpg,11.0,4.363636363636363,"Get ready to head out for the day in this stylish skirt. Featuring a slip-on closure and knee-length, this skirt is sure to add charm to your look.&nbsp;<ul><li>Gorgeous green shade</li><li>Classic solid pattern</li><li>Slip-on closure</li><li>Knee length</li><li>Polyester, machine wash</li></ul><b>Trend Alert</b><br>A tiered garment is usually one that is completed by stitching three or more pieces of fabric one below the other. They could also have layers and ruffles to add beauty.Polyester<br>Normal machine wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,324,333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Care for me': 'Follow the garment wash care label<br> Can be tumble dried in a cool setting if machine washed<br> Prevent static build-up by drying while damp<br> Use low heat to iron', 'Character': 'NA', 'Closure': 'Slip-On', 'Fabric': 'Polyester', 'Fabric Type': 'Net', 'Hemline': 'Flared', 'Knit or Woven': 'Knitted', 'Length': 'Knee Length', 'Lining': 'Has a lining', 'Main Trend': 'Tiered', 'Number of Pockets': 'NA', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Slit Detail': 'No Slit', 'Style Tip': 'Club this piece with funky acrylic earrings, pretty art deco sandals, and square sunglasses with thick frames.', 'Sub Trend': 'New Basics', 'Surface Styling': 'Gathered or Pleated', 'Sustainable': 'Regular', 'Transparency': 'Semi Sheer', 'Type': 'Tiered', 'Wash Care': 'Machine Wash', 'Where-to-wear': 'Stroll around the city with friends'}","{'name': 'U&F Women Gorgeous Green Solid Tiered Skirt', 'color': 'Green', 'brand': 'U&F'}",69
